epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,787.208,1.11084,2.58845,0.00327,0.91482,0.88157,0.92987,0.6266,1.16886,3.31391,0.00502,0.0149725,0.00499083,0.0149725,0.00499083,0.015156,0.00517431,0.0149725,0.00499083
2,1485.84,1.17495,2.98182,0.00348,0.8933,0.84752,0.89937,0.59639,1.21375,3.93772,0.00514,0.014505,0.004835,0.014505,0.004835,0.014505,0.004835,0.014505,0.004835
3,2184.32,1.17964,3.00517,0.0035,0.92529,0.87027,0.93014,0.62774,1.15348,3.39607,0.00487,0.01401,0.00467,0.01401,0.00467,0.01401,0.00467,0.01401,0.00467
4,2882.01,1.18101,3.03827,0.00349,0.90995,0.8743,0.92467,0.62844,1.16394,3.43821,0.00489,0.013515,0.004505,0.013515,0.004505,0.013515,0.004505,0.013515,0.004505
5,3582.03,1.17586,2.99455,0.00349,0.91768,0.88721,0.93033,0.63795,1.14491,3.2585,0.00487,0.01302,0.00434,0.01302,0.00434,0.01302,0.00434,0.01302,0.00434
6,4282.78,1.17513,2.97469,0.00345,0.91516,0.88625,0.93764,0.63933,1.13418,3.17665,0.00474,0.012525,0.004175,0.012525,0.004175,0.012525,0.004175,0.012525,0.004175
7,4981.7,1.17042,2.97193,0.00344,0.91868,0.88706,0.93362,0.64108,1.12879,3.2456,0.00494,0.01203,0.00401,0.01203,0.00401,0.01203,0.00401,0.01203,0.00401
8,5681.21,1.16701,2.94531,0.00342,0.92007,0.89211,0.94039,0.65184,1.12432,3.20449,0.00465,0.011535,0.003845,0.011535,0.003845,0.011535,0.003845,0.011535,0.003845
9,6379.65,1.16472,2.90225,0.0034,0.92749,0.89878,0.9439,0.65707,1.10086,3.1341,0.0046,0.01104,0.00368,0.01104,0.00368,0.01104,0.00368,0.01104,0.00368
10,7076.3,1.16401,2.89299,0.00343,0.93249,0.90087,0.94303,0.65903,1.09487,2.99601,0.0046,0.010545,0.003515,0.010545,0.003515,0.010545,0.003515,0.010545,0.003515
11,7775.38,1.15991,2.86536,0.00338,0.93311,0.90054,0.94324,0.65841,1.0923,3.06085,0.00461,0.01005,0.00335,0.01005,0.00335,0.01005,0.00335,0.01005,0.00335
12,8475.22,1.15236,2.82229,0.00338,0.92901,0.909,0.94584,0.668,1.07958,2.9516,0.00449,0.009555,0.003185,0.009555,0.003185,0.009555,0.003185,0.009555,0.003185
13,9174.16,1.14706,2.78804,0.00333,0.93517,0.90726,0.94809,0.66726,1.07813,2.88996,0.00451,0.00906,0.00302,0.00906,0.00302,0.00906,0.00302,0.00906,0.00302
14,9875.42,1.14713,2.78653,0.00331,0.93476,0.9114,0.94871,0.67112,1.06034,2.90311,0.00435,0.008565,0.002855,0.008565,0.002855,0.008565,0.002855,0.008565,0.002855
15,10575.5,1.14293,2.7646,0.0033,0.9404,0.91066,0.94993,0.67606,1.05491,2.89875,0.00429,0.00807,0.00269,0.00807,0.00269,0.00807,0.00269,0.00807,0.00269
16,11275.6,1.13804,2.7329,0.00328,0.93725,0.91263,0.95241,0.6793,1.0458,2.79413,0.0043,0.007575,0.002525,0.007575,0.002525,0.007575,0.002525,0.007575,0.002525
17,11974.2,1.13219,2.66855,0.00326,0.9357,0.91611,0.95192,0.68095,1.03898,2.75552,0.00426,0.00708,0.00236,0.00708,0.00236,0.00708,0.00236,0.00708,0.00236
18,12673.8,1.13197,2.68757,0.00328,0.93582,0.91995,0.95166,0.68161,1.03591,2.73396,0.00426,0.006585,0.002195,0.006585,0.002195,0.006585,0.002195,0.006585,0.002195
19,13370.6,1.12329,2.62766,0.00323,0.9378,0.92091,0.95269,0.68215,1.03364,2.71552,0.00422,0.00609,0.00203,0.00609,0.00203,0.00609,0.00203,0.00609,0.00203
20,14070.8,1.12105,2.61355,0.00321,0.93783,0.92147,0.9523,0.68311,1.03278,2.72975,0.00424,0.005595,0.001865,0.005595,0.001865,0.005595,0.001865,0.005595,0.001865
21,14762.6,1.08275,2.19762,0.00358,0.94005,0.91995,0.95281,0.6833,1.0351,2.67199,0.00423,0.0051,0.0017,0.0051,0.0017,0.0051,0.0017,0.0051,0.0017
22,15437.5,1.07785,2.18976,0.00356,0.94046,0.9191,0.95253,0.6848,1.03016,2.67195,0.00419,0.004605,0.001535,0.004605,0.001535,0.004605,0.001535,0.004605,0.001535
23,16115.2,1.06728,2.13844,0.00349,0.94225,0.91924,0.95316,0.68534,1.02419,2.64064,0.00415,0.00411,0.00137,0.00411,0.00137,0.00411,0.00137,0.00411,0.00137
24,16787.6,1.0586,2.09934,0.00346,0.93858,0.92432,0.95258,0.68681,1.01986,2.63495,0.00415,0.003615,0.001205,0.003615,0.001205,0.003615,0.001205,0.003615,0.001205
25,17463.3,1.05442,2.06339,0.00342,0.94321,0.91876,0.95209,0.68779,1.0166,2.63514,0.00413,0.00312,0.00104,0.00312,0.00104,0.00312,0.00104,0.00312,0.00104
26,18139,1.04594,2.02896,0.00339,0.94201,0.92207,0.95211,0.68895,1.0135,2.64063,0.00412,0.002625,0.000875,0.002625,0.000875,0.002625,0.000875,0.002625,0.000875
27,18812.8,1.04339,2.00732,0.00339,0.94625,0.91523,0.95202,0.68815,1.01124,2.64954,0.0041,0.00213,0.00071,0.00213,0.00071,0.00213,0.00071,0.00213,0.00071
28,19491.9,1.03265,1.9668,0.0033,0.94333,0.9185,0.95184,0.68756,1.01168,2.67603,0.00411,0.001635,0.000545,0.001635,0.000545,0.001635,0.000545,0.001635,0.000545
29,20166.6,1.02651,1.93394,0.00329,0.94343,0.91968,0.95192,0.68755,1.01045,2.67635,0.0041,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038,0.00114,0.00038
30,20842.7,1.02027,1.89525,0.00326,0.94176,0.91996,0.95201,0.68775,1.01014,2.67286,0.00409,0.000645,0.000215,0.000645,0.000215,0.000645,0.000215,0.000645,0.000215
