epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,391.662,2.52572,2.19306,0.00338,0.62814,0.55545,0.55065,0.32489,2.31677,0.73573,0.0048,0.00997468,0.00332489,0.00997468,0.00332489,0.0767257,0.0700759,0.00997468,0.00332489
2,741.9,2.40042,0.9343,0.00316,0.80193,0.59582,0.65109,0.38791,2.23068,0.74514,0.00454,0.0198429,0.00661428,0.0198429,0.00661428,0.0532606,0.040032,0.0198429,0.00661428
3,1091.32,2.39042,0.82964,0.00315,0.75461,0.59587,0.62758,0.40024,2.07126,0.64671,0.00425,0.029579,0.00985967,0.029579,0.00985967,0.0296634,0.00994406,0.029579,0.00985967
4,1445.34,2.3713,0.79697,0.00315,0.7477,0.67386,0.70202,0.42796,2.12961,0.63719,0.00432,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1800.64,2.32837,0.7517,0.00308,0.82028,0.62644,0.66834,0.41325,2.10154,0.63552,0.00426,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2155.73,2.30184,0.73335,0.00303,0.83188,0.63293,0.65396,0.41439,2.02986,0.60195,0.0041,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2507.92,2.27474,0.7079,0.00299,0.87827,0.64042,0.7119,0.45196,2.00607,0.56207,0.00407,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2851.63,2.25292,0.69549,0.00298,0.85094,0.68322,0.72841,0.46446,1.97633,0.57908,0.00402,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3201.56,2.23832,0.67686,0.00294,0.84019,0.63736,0.71848,0.4639,1.91577,0.54925,0.00378,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3545.71,2.23037,0.6642,0.00294,0.75238,0.68621,0.71913,0.46465,1.94789,0.56795,0.00385,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3886.66,2.21761,0.6713,0.0029,0.76098,0.6781,0.72329,0.47454,1.89982,0.54308,0.00369,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,4227.05,2.20254,0.6534,0.00289,0.85401,0.68596,0.73022,0.47015,2.01446,0.52711,0.00391,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,4569.64,2.19133,0.64883,0.00286,0.83395,0.70485,0.75149,0.49246,1.87295,0.52526,0.00362,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,4922.03,2.19816,0.65156,0.00288,0.87269,0.68836,0.74462,0.48172,1.94627,0.51425,0.00379,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,5272.78,2.18215,0.63057,0.00285,0.86805,0.70003,0.73768,0.49114,1.85838,0.53185,0.0036,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,5621.58,2.18232,0.63098,0.00285,0.86405,0.69379,0.73928,0.47719,1.92847,0.53028,0.00371,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,5962.4,2.17306,0.63881,0.00284,0.8653,0.6923,0.74339,0.4936,1.83883,0.51904,0.00352,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,6305.4,2.16141,0.62359,0.00282,0.81847,0.68566,0.72809,0.481,1.78097,0.51591,0.00343,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,6653.59,2.15752,0.62132,0.0028,0.87923,0.6842,0.747,0.48812,1.78331,0.53205,0.00342,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,7004.75,2.15813,0.61132,0.00281,0.89771,0.67916,0.75545,0.50279,1.78414,0.50116,0.00343,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,7358.62,2.15687,0.62126,0.00281,0.86793,0.70248,0.76285,0.5054,1.78891,0.51961,0.00345,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,7710.89,2.14979,0.60874,0.00279,0.86585,0.6916,0.76825,0.514,1.80579,0.50765,0.00346,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,8062.97,2.14601,0.6069,0.00279,0.90683,0.68739,0.76858,0.51199,1.7944,0.51295,0.00343,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,8415.81,2.13396,0.60522,0.00279,0.83534,0.74585,0.77522,0.51515,1.77784,0.5005,0.00342,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,8767.9,2.13324,0.60323,0.00277,0.86834,0.69181,0.76395,0.5131,1.77036,0.50612,0.00342,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
