epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,38134,0.956,3.33748,0.00415,0.92113,0.89722,0.94067,0.73227,0.70706,2.68138,0.00432,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,39301.5,0.95257,3.30862,0.00414,0.9225,0.89805,0.94204,0.73376,0.706,2.67146,0.00432,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,40469.2,0.95508,3.32906,0.00417,0.92706,0.89772,0.94301,0.73535,0.70555,2.64371,0.00431,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,41638.8,0.95202,3.32337,0.00414,0.92479,0.90037,0.9449,0.73681,0.70475,2.6296,0.00431,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,42806,0.95021,3.29904,0.00414,0.92734,0.89926,0.94544,0.7374,0.70454,2.62302,0.00429,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,43976.1,0.95163,3.30266,0.00413,0.93053,0.89621,0.94538,0.73738,0.70393,2.61771,0.00429,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,45145.5,0.94747,3.31594,0.00409,0.93331,0.89639,0.94708,0.73825,0.70225,2.61189,0.00426,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,46314.6,0.94731,3.26983,0.0041,0.9273,0.89983,0.94637,0.73804,0.7009,2.62546,0.00425,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,47495.9,0.94492,3.25462,0.00409,0.92493,0.90297,0.94626,0.73807,0.7004,2.60854,0.00425,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,48673.4,0.94506,3.24687,0.00407,0.92758,0.90114,0.94649,0.73866,0.699,2.59931,0.00424,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,49845.8,0.94144,3.25546,0.00407,0.92844,0.90209,0.94719,0.73926,0.69856,2.58462,0.00424,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,51015.7,0.93866,3.24231,0.00404,0.93044,0.9018,0.94825,0.74022,0.69818,2.57368,0.00424,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,52197.4,0.93438,3.2193,0.00403,0.92858,0.90199,0.94816,0.74117,0.69735,2.56765,0.00423,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,53371.5,0.93571,3.20702,0.00403,0.93499,0.89683,0.94845,0.74097,0.69659,2.56878,0.00422,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,54545.3,0.93187,3.18317,0.00401,0.93448,0.89602,0.94855,0.7411,0.69597,2.56918,0.00421,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,55711.7,0.93093,3.19016,0.00399,0.93237,0.89985,0.94892,0.74145,0.6951,2.56789,0.0042,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,56880.4,0.92775,3.16223,0.00399,0.93494,0.90135,0.94917,0.74189,0.69409,2.54695,0.00418,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,58046.3,0.92522,3.16055,0.00399,0.93682,0.90036,0.94959,0.7426,0.69376,2.53144,0.00418,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,59213.8,0.92488,3.1767,0.00397,0.94046,0.89886,0.94993,0.74259,0.69258,2.51492,0.00415,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,60381,0.92291,3.14443,0.00397,0.94122,0.89943,0.95014,0.74296,0.69272,2.50988,0.00416,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,61549.1,0.92325,3.13528,0.00396,0.93535,0.90721,0.95041,0.74306,0.6913,2.50286,0.00414,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,62719.2,0.91867,3.12644,0.00393,0.93751,0.90483,0.95029,0.74324,0.69079,2.50701,0.00414,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,63887,0.91545,3.09642,0.00391,0.93345,0.90848,0.95029,0.74303,0.69035,2.50939,0.00413,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,65054,0.91971,3.10326,0.00392,0.93224,0.90716,0.94993,0.74324,0.68966,2.53654,0.00412,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,66223.3,0.91258,3.06498,0.00387,0.92645,0.90542,0.94869,0.74249,0.68885,2.59042,0.00412,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,67391.9,0.91113,3.06714,0.0039,0.92682,0.90742,0.94857,0.74268,0.6885,2.58563,0.00412,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,68559,0.9087,3.05279,0.00387,0.93211,0.90777,0.94836,0.74377,0.68798,2.53832,0.00412,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,69725.6,0.90743,3.0541,0.00387,0.93184,0.91054,0.94949,0.74406,0.68747,2.52965,0.00412,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,70893.5,0.90243,3.0273,0.00383,0.93402,0.90976,0.95009,0.74494,0.68713,2.51636,0.00411,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,72061.4,0.90411,3.01881,0.00383,0.93418,0.91066,0.95046,0.74522,0.68596,2.50554,0.00411,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,73231.1,0.89776,2.98465,0.00381,0.93461,0.90947,0.95058,0.74538,0.6855,2.49649,0.00409,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,74398.3,0.8978,2.97942,0.00379,0.93576,0.91136,0.9512,0.74585,0.68524,2.48135,0.00408,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,75567.6,0.89455,2.97024,0.00377,0.93964,0.90914,0.95159,0.74649,0.68486,2.47659,0.00408,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,76737.1,0.89261,2.94485,0.00377,0.93895,0.91023,0.95191,0.74685,0.684,2.46414,0.00408,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,77905.1,0.8908,2.94253,0.00376,0.93877,0.91035,0.95186,0.74698,0.68335,2.46515,0.00407,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,79075,0.88473,2.93832,0.00373,0.93899,0.91228,0.9521,0.74741,0.68247,2.45777,0.00406,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,80244.5,0.8846,2.92574,0.00374,0.93765,0.91229,0.95215,0.74775,0.68232,2.45485,0.00406,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,81411.1,0.88097,2.90537,0.00369,0.9365,0.91354,0.95236,0.74776,0.68165,2.45928,0.00405,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,82581.9,0.87759,2.87643,0.00367,0.93855,0.91267,0.95088,0.74764,0.68096,2.45601,0.00405,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,83748.1,0.87416,2.85378,0.00366,0.93915,0.91241,0.95071,0.74762,0.68059,2.46141,0.00404,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,1185.39,0.84917,2.71824,0.00349,0.93948,0.91326,0.95131,0.74851,0.67928,2.44741,0.00402,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2364.81,0.85394,2.75298,0.00355,0.93858,0.91354,0.95138,0.74891,0.67805,2.44467,0.00401,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3530.13,0.85645,2.76238,0.00355,0.9379,0.91495,0.95302,0.74969,0.677,2.44706,0.004,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4697.45,0.85478,2.74699,0.00352,0.93784,0.91567,0.95181,0.75002,0.67679,2.44435,0.004,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5868.63,0.84984,2.73777,0.00353,0.94072,0.91388,0.95179,0.75032,0.67541,2.43175,0.00398,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7037.4,0.84832,2.7241,0.00351,0.94011,0.91482,0.95189,0.75079,0.67376,2.42724,0.00397,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8205.69,0.84852,2.72304,0.00351,0.94309,0.91274,0.95218,0.75103,0.67365,2.42473,0.00397,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9377.1,0.84446,2.69257,0.00348,0.94525,0.91077,0.95213,0.75148,0.67194,2.41966,0.00395,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,10546.4,0.84278,2.68755,0.00348,0.94467,0.91071,0.95214,0.75147,0.671,2.42224,0.00393,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11717,0.83923,2.66545,0.00346,0.9453,0.91135,0.95242,0.75179,0.67067,2.41043,0.00393,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12892.3,0.83532,2.63642,0.00342,0.94669,0.91002,0.95252,0.75179,0.66988,2.41285,0.00392,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,14065.4,0.83259,2.62809,0.00339,0.9448,0.91245,0.95237,0.75207,0.66894,2.41706,0.00392,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
