epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12987.6,1.23482,2.93799,0.00338,0.93853,0.91762,0.94816,0.67124,1.08111,2.82503,0.0042,0.005793,0.001931,0.005793,0.001931,0.005793,0.001931,0.005793,0.001931
33,13390.8,1.23139,2.94057,0.00337,0.9359,0.91904,0.94811,0.672,1.08056,2.81314,0.0042,0.005496,0.001832,0.005496,0.001832,0.005496,0.001832,0.005496,0.001832
34,13795.2,1.22884,2.90653,0.00334,0.93631,0.91814,0.94802,0.67246,1.07972,2.81264,0.0042,0.005199,0.001733,0.005199,0.001733,0.005199,0.001733,0.005199,0.001733
35,14200.3,1.22744,2.9029,0.00333,0.93342,0.91988,0.94787,0.67191,1.07918,2.82313,0.00419,0.004902,0.001634,0.004902,0.001634,0.004902,0.001634,0.004902,0.001634
36,14605,1.22233,2.88025,0.00334,0.93959,0.91524,0.94799,0.67206,1.07841,2.8237,0.00418,0.004605,0.001535,0.004605,0.001535,0.004605,0.001535,0.004605,0.001535
37,15012.5,1.21772,2.86198,0.00329,0.93689,0.91714,0.94806,0.67221,1.07773,2.82214,0.00418,0.004308,0.001436,0.004308,0.001436,0.004308,0.001436,0.004308,0.001436
38,15415.3,1.21214,2.83234,0.00331,0.93762,0.91713,0.94815,0.67296,1.07685,2.81074,0.00416,0.004011,0.001337,0.004011,0.001337,0.004011,0.001337,0.004011,0.001337
39,15818.4,1.20955,2.81098,0.00327,0.93894,0.91656,0.94818,0.67341,1.07616,2.8149,0.00416,0.003714,0.001238,0.003714,0.001238,0.003714,0.001238,0.003714,0.001238
40,16220.3,1.20348,2.77957,0.00326,0.93877,0.9181,0.94861,0.67372,1.07578,2.804,0.00416,0.003417,0.001139,0.003417,0.001139,0.003417,0.001139,0.003417,0.001139
41,16621,1.13544,2.29274,0.00354,0.93861,0.91751,0.94849,0.67422,1.07545,2.80355,0.00416,0.00312,0.00104,0.00312,0.00104,0.00312,0.00104,0.00312,0.00104
42,17013.7,1.1291,2.25685,0.00352,0.93933,0.91848,0.94869,0.67417,1.07427,2.79827,0.00415,0.002823,0.000941,0.002823,0.000941,0.002823,0.000941,0.002823,0.000941
43,17405,1.12394,2.23091,0.00347,0.93794,0.91933,0.94864,0.67418,1.07331,2.79217,0.00414,0.002526,0.000842,0.002526,0.000842,0.002526,0.000842,0.002526,0.000842
44,17796,1.11583,2.20617,0.00347,0.93855,0.91785,0.94833,0.67366,1.07316,2.78298,0.00415,0.002229,0.000743,0.002229,0.000743,0.002229,0.000743,0.002229,0.000743
45,18186.6,1.11504,2.18493,0.00346,0.93917,0.91641,0.94837,0.67454,1.07262,2.7779,0.00415,0.001932,0.000644,0.001932,0.000644,0.001932,0.000644,0.001932,0.000644
46,18583.2,1.11021,2.15426,0.00343,0.94117,0.91701,0.94871,0.67452,1.07159,2.77293,0.00415,0.001635,0.000545,0.001635,0.000545,0.001635,0.000545,0.001635,0.000545
47,18977.3,1.10402,2.13517,0.00338,0.94315,0.91561,0.94881,0.67485,1.07112,2.76563,0.00415,0.001338,0.000446,0.001338,0.000446,0.001338,0.000446,0.001338,0.000446
48,19368.7,1.0973,2.10431,0.00337,0.93935,0.91906,0.9491,0.67513,1.07036,2.7585,0.00414,0.001041,0.000347,0.001041,0.000347,0.001041,0.000347,0.001041,0.000347
49,19760,1.09337,2.09469,0.00333,0.94086,0.91823,0.94911,0.6748,1.06905,2.76402,0.00413,0.000744,0.000248,0.000744,0.000248,0.000744,0.000248,0.000744,0.000248
50,20155.4,1.09179,2.06761,0.00333,0.94382,0.91513,0.94912,0.67547,1.06829,2.76248,0.00413,0.000447,0.000149,0.000447,0.000149,0.000447,0.000149,0.000447,0.000149
