epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,34017.8,0.86647,2.88438,0.00364,0.93795,0.90545,0.95033,0.74204,0.68991,2.48352,0.00425,0.0005941,0.0005941,0.0005941
43,34824.1,0.86278,2.86365,0.00362,0.93917,0.90556,0.95064,0.74303,0.68892,2.46604,0.00424,0.0005842,0.0005842,0.0005842
44,35631.8,0.85936,2.84677,0.00361,0.93912,0.90622,0.95088,0.74356,0.68803,2.46103,0.00422,0.0005743,0.0005743,0.0005743
45,36437.9,0.85903,2.84995,0.00359,0.93691,0.90828,0.95176,0.74368,0.68681,2.44817,0.00421,0.0005644,0.0005644,0.0005644
46,37244.6,0.85727,2.82708,0.00359,0.93954,0.90537,0.95196,0.74418,0.68651,2.44484,0.00421,0.0005545,0.0005545,0.0005545
47,38054.7,0.85581,2.8324,0.00358,0.93729,0.90801,0.95222,0.74431,0.68568,2.439,0.00419,0.0005446,0.0005446,0.0005446
48,38861.7,0.85458,2.82091,0.00358,0.93875,0.90779,0.9524,0.74512,0.68478,2.444,0.00417,0.0005347,0.0005347,0.0005347
49,39667.6,0.84991,2.80346,0.00356,0.93672,0.90938,0.95215,0.74461,0.68415,2.42784,0.00417,0.0005248,0.0005248,0.0005248
50,40473.9,0.8542,2.81631,0.00357,0.93596,0.90984,0.9522,0.74528,0.68316,2.42955,0.00416,0.0005149,0.0005149,0.0005149
51,41280,0.85096,2.80688,0.00355,0.93573,0.91051,0.95237,0.74584,0.68209,2.42293,0.00416,0.000505,0.000505,0.000505
52,42087.3,0.84987,2.78728,0.00354,0.9351,0.9109,0.9524,0.74624,0.68084,2.42221,0.00414,0.0004951,0.0004951,0.0004951
53,42893.1,0.8463,2.77763,0.00351,0.93594,0.91032,0.95252,0.74606,0.68064,2.42868,0.00414,0.0004852,0.0004852,0.0004852
54,43699,0.84446,2.75867,0.0035,0.93872,0.90943,0.95256,0.74599,0.67989,2.42655,0.00413,0.0004753,0.0004753,0.0004753
55,44504,0.84694,2.75619,0.0035,0.93974,0.90867,0.95267,0.74653,0.67899,2.41964,0.00412,0.0004654,0.0004654,0.0004654
56,45310.8,0.84252,2.73719,0.00347,0.93821,0.91035,0.9519,0.74659,0.67874,2.42174,0.00413,0.0004555,0.0004555,0.0004555
57,46117.8,0.83922,2.73536,0.00349,0.93806,0.91033,0.95177,0.74688,0.67849,2.42085,0.00412,0.0004456,0.0004456,0.0004456
58,46923.6,0.83945,2.72406,0.00348,0.94064,0.90946,0.95303,0.74749,0.67736,2.4126,0.0041,0.0004357,0.0004357,0.0004357
59,47729.6,0.83603,2.70424,0.00347,0.94166,0.90981,0.95315,0.74775,0.67678,2.41223,0.0041,0.0004258,0.0004258,0.0004258
60,48536,0.83414,2.70113,0.00346,0.93961,0.91187,0.95338,0.74801,0.6763,2.40177,0.00409,0.0004159,0.0004159,0.0004159
61,49341.7,0.83797,2.71286,0.00346,0.9392,0.91038,0.95352,0.74837,0.67679,2.39779,0.00409,0.000406,0.000406,0.000406
62,50148.9,0.83165,2.67684,0.00343,0.93951,0.91024,0.95316,0.74744,0.6766,2.40058,0.00408,0.0003961,0.0003961,0.0003961
63,50953.7,0.83,2.67565,0.0034,0.93961,0.91119,0.95353,0.74799,0.67637,2.38764,0.00408,0.0003862,0.0003862,0.0003862
64,51758.5,0.8323,2.68153,0.00342,0.93932,0.91197,0.95347,0.74818,0.67606,2.3881,0.00407,0.0003763,0.0003763,0.0003763
65,52563,0.82956,2.66187,0.00342,0.93767,0.91403,0.9535,0.74883,0.67555,2.38107,0.00405,0.0003664,0.0003664,0.0003664
66,53368,0.82935,2.67642,0.00341,0.93938,0.91174,0.95329,0.74852,0.67574,2.38228,0.00405,0.0003565,0.0003565,0.0003565
67,54173.9,0.82466,2.64508,0.00339,0.93879,0.91345,0.95341,0.7489,0.67542,2.3822,0.00404,0.0003466,0.0003466,0.0003466
68,54979.5,0.82401,2.64014,0.00339,0.93745,0.91574,0.9535,0.7487,0.67487,2.37812,0.00403,0.0003367,0.0003367,0.0003367
69,55783.5,0.82258,2.63665,0.00337,0.93906,0.91369,0.95362,0.74872,0.67399,2.38036,0.00402,0.0003268,0.0003268,0.0003268
70,56588.1,0.82059,2.62148,0.00335,0.93654,0.91555,0.95368,0.74919,0.67374,2.37905,0.00401,0.0003169,0.0003169,0.0003169
71,57392.6,0.81815,2.60993,0.00335,0.93963,0.9135,0.9538,0.74959,0.67329,2.37716,0.004,0.000307,0.000307,0.000307
72,58199.4,0.81756,2.59573,0.00334,0.93979,0.91333,0.95374,0.74976,0.67329,2.37661,0.004,0.0002971,0.0002971,0.0002971
73,59004,0.81244,2.57663,0.00332,0.9444,0.91015,0.95371,0.74974,0.67312,2.3675,0.00401,0.0002872,0.0002872,0.0002872
74,59808.5,0.81341,2.58659,0.00331,0.94107,0.91227,0.95382,0.74988,0.67255,2.36988,0.00401,0.0002773,0.0002773,0.0002773
75,60613.8,0.81547,2.59124,0.00332,0.9418,0.91215,0.9539,0.74996,0.67249,2.36556,0.00401,0.0002674,0.0002674,0.0002674
76,61418.9,0.81219,2.56748,0.00332,0.9407,0.91287,0.95393,0.75006,0.67307,2.36402,0.00402,0.0002575,0.0002575,0.0002575
77,62225.1,0.81191,2.57082,0.00329,0.9415,0.9134,0.95393,0.75007,0.67307,2.36152,0.00402,0.0002476,0.0002476,0.0002476
78,63031,0.80911,2.56607,0.00329,0.94357,0.91192,0.95391,0.75005,0.67249,2.35993,0.00401,0.0002377,0.0002377,0.0002377
79,63835.9,0.80468,2.54524,0.00327,0.94135,0.91457,0.95391,0.74998,0.67261,2.3659,0.00401,0.0002278,0.0002278,0.0002278
80,64641.8,0.80596,2.55149,0.00327,0.94142,0.91355,0.95548,0.75038,0.67224,2.37168,0.00401,0.0002179,0.0002179,0.0002179
81,65447.3,0.8041,2.52721,0.00326,0.94311,0.91383,0.95416,0.75098,0.67181,2.36541,0.00401,0.000208,0.000208,0.000208
82,66255.1,0.80284,2.52726,0.00327,0.94402,0.91236,0.95443,0.75124,0.67094,2.36238,0.004,0.0001981,0.0001981,0.0001981
83,67060,0.8046,2.53152,0.00326,0.94349,0.91275,0.95433,0.75174,0.66992,2.36502,0.004,0.0001882,0.0001882,0.0001882
84,67864.9,0.79961,2.51014,0.00323,0.94172,0.91347,0.95575,0.75182,0.6695,2.36328,0.00399,0.0001783,0.0001783,0.0001783
85,68670.2,0.79813,2.50945,0.00322,0.9422,0.91338,0.95432,0.7517,0.6687,2.36519,0.00398,0.0001684,0.0001684,0.0001684
86,69474.9,0.79547,2.49066,0.00323,0.94219,0.91477,0.95463,0.7519,0.66859,2.36785,0.00397,0.0001585,0.0001585,0.0001585
87,70282.9,0.79603,2.4938,0.00322,0.94363,0.91348,0.95447,0.75187,0.66825,2.36532,0.00396,0.0001486,0.0001486,0.0001486
88,71087.7,0.79227,2.46957,0.00318,0.9422,0.91452,0.95437,0.75174,0.66829,2.37003,0.00397,0.0001387,0.0001387,0.0001387
89,71893.2,0.79305,2.47581,0.00319,0.93943,0.91741,0.95457,0.75179,0.66857,2.37072,0.00397,0.0001288,0.0001288,0.0001288
90,72697.7,0.79037,2.46086,0.00319,0.94053,0.91617,0.95448,0.75202,0.66889,2.37407,0.00397,0.0001189,0.0001189,0.0001189
91,73514.1,0.7051,1.88766,0.00306,0.93858,0.91721,0.95426,0.75158,0.66937,2.38235,0.00398,0.000109,0.000109,0.000109
92,74326.1,0.69859,1.85081,0.00302,0.93947,0.91676,0.95423,0.75154,0.66989,2.38436,0.00398,9.91e-05,9.91e-05,9.91e-05
93,75134.5,0.6964,1.83741,0.003,0.94085,0.91589,0.9542,0.75148,0.67064,2.37772,0.00398,8.92e-05,8.92e-05,8.92e-05
94,75943.4,0.69322,1.81737,0.00298,0.94025,0.91596,0.95402,0.75147,0.67134,2.39121,0.00399,7.93e-05,7.93e-05,7.93e-05
95,76751.6,0.69245,1.81754,0.00298,0.94251,0.91378,0.9542,0.75155,0.67203,2.38593,0.00399,6.94e-05,6.94e-05,6.94e-05
96,77559.2,0.6887,1.80001,0.00295,0.94266,0.91353,0.95393,0.75104,0.67193,2.39674,0.00399,5.95e-05,5.95e-05,5.95e-05
97,78369.4,0.68699,1.78976,0.00294,0.94275,0.91356,0.95402,0.75092,0.67207,2.40372,0.00399,4.96e-05,4.96e-05,4.96e-05
98,79176.6,0.68729,1.78572,0.00293,0.94355,0.91115,0.95399,0.75095,0.67214,2.40868,0.00399,3.97e-05,3.97e-05,3.97e-05
99,79984.2,0.68536,1.77712,0.00292,0.94245,0.91233,0.9541,0.75103,0.67173,2.41792,0.00398,2.98e-05,2.98e-05,2.98e-05
100,80792.3,0.68376,1.76997,0.00292,0.94271,0.91252,0.95402,0.75129,0.67151,2.41802,0.00398,1.99e-05,1.99e-05,1.99e-05
