epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,43525.1,0.86747,2.90978,0.00367,0.93629,0.90727,0.94986,0.74126,0.68952,2.49319,0.00431,0.0005941,0.0005941,0.0005941
43,44568.7,0.86408,2.89688,0.00365,0.93824,0.90612,0.94991,0.74177,0.68885,2.47887,0.00431,0.0005842,0.0005842,0.0005842
44,45610.3,0.8619,2.87777,0.00363,0.9365,0.90741,0.95026,0.74237,0.68778,2.46816,0.00429,0.0005743,0.0005743,0.0005743
45,46651.7,0.86228,2.87799,0.00365,0.93619,0.90905,0.95038,0.74245,0.68611,2.45839,0.00427,0.0005644,0.0005644,0.0005644
46,47693.1,0.85855,2.86317,0.00362,0.93591,0.90992,0.95141,0.7437,0.68526,2.45386,0.00427,0.0005545,0.0005545,0.0005545
47,48733.7,0.85834,2.85737,0.00361,0.9375,0.9092,0.95169,0.74444,0.68443,2.43766,0.00428,0.0005446,0.0005446,0.0005446
48,49775.5,0.85824,2.84912,0.00361,0.93671,0.90965,0.95185,0.7446,0.68321,2.43193,0.00425,0.0005347,0.0005347,0.0005347
49,50817,0.85552,2.8393,0.00362,0.93506,0.91086,0.95198,0.74511,0.68269,2.42674,0.00425,0.0005248,0.0005248,0.0005248
50,51859.2,0.85544,2.82758,0.00359,0.93821,0.90969,0.9525,0.74553,0.68197,2.40369,0.00424,0.0005149,0.0005149,0.0005149
51,52900.6,0.85034,2.81672,0.00357,0.93878,0.90946,0.95259,0.7459,0.68045,2.4043,0.00423,0.000505,0.000505,0.000505
52,53945.3,0.8509,2.80494,0.00357,0.94067,0.90838,0.95268,0.74577,0.67964,2.40219,0.00422,0.0004951,0.0004951,0.0004951
53,54983.4,0.8486,2.79565,0.00355,0.94045,0.90875,0.95255,0.74559,0.67906,2.41412,0.00421,0.0004852,0.0004852,0.0004852
54,56015.5,0.84353,2.78713,0.00353,0.93889,0.91082,0.95267,0.74579,0.6783,2.41423,0.0042,0.0004753,0.0004753,0.0004753
55,57054.6,0.84608,2.78247,0.00352,0.93756,0.91233,0.95272,0.74644,0.67791,2.40702,0.0042,0.0004654,0.0004654,0.0004654
56,58096.9,0.8424,2.75786,0.00351,0.93772,0.91178,0.95274,0.74621,0.67773,2.41042,0.00419,0.0004555,0.0004555,0.0004555
57,59148.1,0.83829,2.73819,0.00351,0.94017,0.91126,0.95294,0.74694,0.67763,2.40037,0.00419,0.0004456,0.0004456,0.0004456
58,60198.3,0.8426,2.76362,0.0035,0.94071,0.91132,0.95301,0.74703,0.67715,2.38384,0.00418,0.0004357,0.0004357,0.0004357
59,61246.9,0.83629,2.72153,0.00349,0.94084,0.9117,0.95323,0.74714,0.67727,2.3852,0.00418,0.0004258,0.0004258,0.0004258
60,62288.7,0.8339,2.71738,0.00347,0.93973,0.91248,0.95309,0.74731,0.67697,2.37214,0.00418,0.0004159,0.0004159,0.0004159
61,63342.5,0.83383,2.70244,0.00347,0.94039,0.91259,0.95333,0.74793,0.67568,2.37572,0.00416,0.000406,0.000406,0.000406
62,64405.3,0.83022,2.70158,0.00345,0.94077,0.91305,0.95329,0.74786,0.67505,2.382,0.00416,0.0003961,0.0003961,0.0003961
63,65463.9,0.82981,2.68824,0.00343,0.941,0.91245,0.95331,0.748,0.6749,2.38588,0.00416,0.0003862,0.0003862,0.0003862
64,66532.7,0.82973,2.69261,0.00343,0.94014,0.91383,0.95352,0.74841,0.67474,2.37405,0.00416,0.0003763,0.0003763,0.0003763
65,67607.2,0.82878,2.69329,0.00342,0.93988,0.91406,0.95346,0.7484,0.67371,2.37506,0.00414,0.0003664,0.0003664,0.0003664
66,68675.9,0.82656,2.67988,0.00341,0.94206,0.91212,0.95357,0.74871,0.67362,2.36697,0.00414,0.0003565,0.0003565,0.0003565
67,69739.3,0.82304,2.65204,0.0034,0.94163,0.91268,0.95344,0.74885,0.67374,2.36608,0.00414,0.0003466,0.0003466,0.0003466
68,70809.2,0.8232,2.66846,0.00341,0.93954,0.91342,0.95367,0.74889,0.67288,2.37078,0.00413,0.0003367,0.0003367,0.0003367
